From_Date, region_id, region_name, Company_Id, Company_Name, profitcenter_id, Profitcenter_Name, usr_Id, Level, STATUS, Total Sales, Credit App#, Sales$-Fin, Avg Ticket Sale, BEDDING SALES, Protection SALES, DELIVERY SALES, Drop Ship Ticket, UPS, Postive Sales, Actual_PrevYear, LastYearSales, Traffic Count, Traffic Count PrevYear, Sales YOY, Gross Margin, Effective Margin, $ Discount, Apps to Traffic, SPG, Sales Count, Avg Item Count, Finance Avg Ticket, Non Fin Avg Ticket, UPS Closing Rate, Traffic YOY
05/27/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,9082.83,2.00,1229.88,4954.25,4308.02,NULL,NULL,NULL,NULL,8993.83,4.00,NULL,11.00,12.00,NULL,56.84,56.84,844.94,18.18,825.71,4.00,4.25,314.99,2090.97,0.00,-8.33
05/28/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,4629.89,1.00,2339.91,4229.90,0.00,NULL,NULL,NULL,NULL,2874.90,3.00,NULL,6.00,13.00,NULL,66.35,53.94,445.95,16.67,771.65,2.00,2.50,1169.96,399.99,0.00,-53.85
05/29/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,19018.71,4.00,18499.72,6036.17,7995.92,NULL,NULL,NULL,NULL,16969.72,1.00,NULL,9.00,7.00,NULL,61.88,58.31,2286.90,44.44,2113.19,6.00,4.17,2741.79,259.50,0.00,28.57
05/30/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,6544.67,3.00,4334.89,3301.49,0.00,NULL,NULL,NULL,NULL,9399.63,1.00,NULL,11.00,8.00,NULL,64.71,67.85,894.91,27.27,594.97,5.00,3.00,1899.95,899.92,0.00,37.50
05/31/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,9882.92,2.00,5569.86,3939.75,-249.99,NULL,NULL,NULL,NULL,9449.72,1.00,NULL,13.00,10.00,NULL,61.11,59.80,673.79,15.38,760.22,6.00,2.17,853.31,1082.46,0.00,30.00
06/01/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,759.05,0.00,0.00,759.05,759.05,NULL,NULL,NULL,NULL,759.05,4.00,NULL,7.00,18.00,NULL,52.71,52.71,39.95,0.00,108.44,1.00,1.00,0.00,759.05,0.00,-61.11
06/02/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,3167.90,0.00,1189.97,1808.45,808.99,NULL,NULL,NULL,NULL,3457.89,7.00,NULL,8.00,12.00,NULL,64.35,62.65,-200.01,0.00,395.99,4.00,1.75,886.31,679.97,0.00,-33.33
06/03/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,1137.98,1.00,1659.97,1137.98,0.00,NULL,NULL,NULL,NULL,2379.96,2.00,NULL,9.00,8.00,NULL,56.57,42.80,161.98,11.11,126.44,1.00,4.00,0.00,69.00,0.00,12.50
06/04/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,1219.94,2.00,1469.93,769.97,0.00,NULL,NULL,NULL,NULL,1649.89,2.00,NULL,11.00,10.00,NULL,50.17,39.18,169.93,18.18,110.90,1.00,6.00,1649.89,0.00,0.00,10.00
06/05/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,4949.83,1.00,919.95,2379.92,0.00,NULL,NULL,NULL,NULL,5069.82,3.00,NULL,7.00,3.00,NULL,61.82,61.49,0.00,14.29,707.12,3.00,3.00,459.98,2074.94,0.00,133.33
06/06/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,2599.66,1.00,2339.97,2349.67,0.00,NULL,NULL,NULL,NULL,2360.01,2.00,NULL,9.00,6.00,NULL,59.58,57.13,390.28,11.11,288.85,1.00,1.00,2339.97,0.00,0.00,50.00
06/07/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,12264.85,5.00,8486.92,7355.43,6025.96,NULL,NULL,NULL,NULL,12314.85,1.00,NULL,18.00,10.00,NULL,63.28,58.73,860.98,27.78,681.38,6.00,2.33,2121.73,1275.98,0.00,80.00
06/08/2025,1,West,2,Tallahassee,2,Thomasville,NULL,1,W,8051.90,5.00,7158.93,2340.96,2092.00,NULL,NULL,NULL,NULL,7737.90,3.00,NULL,9.00,13.00,NULL,55.94,53.22,804.00,55.56,894.66,5.00,2.00,3579.47,289.49,0.00,-30.77
